Name,Author,User Rating,Reviews,Price,Year,Genre,Genre_encoded,Reviews_log,Title_length
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,17.85,2009,Fiction,1,8.252706676567644,45
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,18.72,2010,Non Fiction,0,10.298026520510739,70
StrengthsFinder 2.0,Gallup,4.0,5069,18.36,2015,Non Fiction,0,8.531096096585228,19
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14.84,2016,Non Fiction,0,9.53097354456765,23
Sookie Stackhouse,Charlaine Harris,4.7,973,29.75,2009,Fiction,1,6.881411303642535,17
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,24.84,2014,Non Fiction,0,9.317309592973425,86
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,24.38,2016,Non Fiction,0,9.317309592973425,86
Fahrenheit 451,Ray Bradbury,4.6,10721,8.48,2016,Fiction,1,9.280052984387483,14
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.48,2016,Non Fiction,0,9.882110686776542,73
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17.34,2018,Non Fiction,0,8.862058677395472,91
Educated: A Memoir,Tara Westover,4.7,28729,15.0,2019,Non Fiction,0,10.265697151973335,18
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5.95,2009,Non Fiction,0,6.683360945766275,63
StrengthsFinder 2.0,Gallup,4.0,5069,18.02,2016,Non Fiction,0,8.531096096585228,19
Where the Wild Things Are,Maurice Sendak,4.8,9967,15.47,2009,Fiction,1,9.207135241027235,25
Sarah's Key,Tatiana de Rosnay,4.6,3619,11.7,2010,Fiction,1,8.194229304819817,11
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,12.54,2011,Fiction,1,9.444938073335509,45
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.24,2016,Fiction,1,9.549594449971952,20
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,12.21,2012,Fiction,1,10.026368681911944,32
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5.1,2018,Non Fiction,0,9.289243969571649,47
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9.9,2013,Fiction,1,9.09638749190015,24
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,8.33,2009,Fiction,1,8.44009614103127,59
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisleyâ€¦",Coloring Books for Adults,4.5,2426,8.64,2015,Non Fiction,0,7.794411205726601,119
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,16.38,2010,Non Fiction,0,7.341483852363161,43
The Girl on the Train,Paula Hawkins,4.1,79446,19.44,2015,Fiction,1,11.28284541165472,21
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,13.32,2012,Fiction,1,7.645875825184813,50
1984 (Signet Classics),George Orwell,4.7,21424,6.24,2017,Fiction,1,9.97231374346598,22
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21.84,2017,Non Fiction,0,8.380456667842767,101
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7.77,2012,Fiction,1,8.760609847570002,46
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5.4,2015,Fiction,1,9.298625936843543,30
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4.32,2014,Non Fiction,0,8.852378886511985,29
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,24327,7.92,2020,Non Fiction,0,10.099383229357201,72
Giraffes Can't Dance,Giles Andreae,4.8,23356,5.94,2020,Fiction,1,10.058652004037477,20
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5.7,2011,Fiction,1,8.629628620746026,97
The Help,Kathryn Stockett,4.8,13871,7.98,2011,Fiction,1,9.537627699020323,8
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,17.28,2015,Non Fiction,0,8.460834457746854,76
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,24.57,2010,Non Fiction,0,6.423246963533519,66
Becoming ,Michelle Obama,4.8,99498,9.9,2020,Non Fiction,0,11.507902872844923,9
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16.0,2019,Non Fiction,0,8.584477938221834,63
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,4.3,31125,9.9,2020,Non Fiction,0,10.345798761764955,71
Baby Touch and Feel: Animals,DK,4.6,5360,5.4,2015,Non Fiction,0,8.586905803827538,28
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3.06,2018,Non Fiction,0,8.696844519654313,45
Joyland (Hard Case Crime),Stephen King,4.5,4748,13.2,2013,Fiction,1,8.465689348549121,25
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8.16,2018,Fiction,1,8.723231274827508,45
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,10.53,2010,Non Fiction,0,7.349873704738337,29
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,15.54,2012,Non Fiction,0,8.998878325435811,111
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,9.36,2010,Non Fiction,0,6.156978985585555,56
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11.44,2017,Non Fiction,0,10.126711100650509,37
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8.16,2018,Fiction,1,9.991269465919661,25
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,29634,11.88,2020,Non Fiction,0,10.296711374221939,73
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.08,2018,Fiction,1,9.549594449971952,20
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,9.52,2009,Fiction,1,9.889439336810069,43
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,17.6,2013,Non Fiction,0,8.476371196895983,79
Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,4.8,11769,20.79,2020,Non Fiction,0,9.373309200254322,49
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,17.85,2009,Non Fiction,0,8.250358951477294,45
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,9.12,2011,Non Fiction,0,9.882110686776542,73
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,11.4,2011,Fiction,1,7.288927694521257,48
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8.64,2015,Non Fiction,0,10.14858827120238,51
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT ChildrenÂ’s Book)",Jill Twiss,4.9,11881,13.26,2018,Fiction,1,9.382779928915687,120
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes forâ€¦,Dinah Bucholz,4.7,9030,10.0,2019,Non Fiction,0,9.108418382250798,118
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,23.76,2014,Fiction,1,8.785845337961213,35
How to Catch a Unicorn,Adam Wallace,4.8,19988,4.95,2020,Fiction,1,9.902937401230647,22
If I Stay,Gayle Forman,4.3,7153,9.72,2014,Fiction,1,8.875426919818963,9
StrengthsFinder 2.0,Gallup,4.0,5069,19.89,2010,Non Fiction,0,8.531096096585228,19
How to Be an Antiracist,Ibram X. Kendi,4.8,19555,12.87,2020,Non Fiction,0,9.881037423698537,23
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4.32,2015,Non Fiction,0,8.20903626577507,26
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14.56,2017,Non Fiction,0,9.65033572298117,59
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5.2,2017,Fiction,1,9.880577100953023,27
A Promised Land,Barack Obama,4.9,83212,22.77,2020,Non Fiction,0,11.32915886460354,15
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,16.38,2010,Non Fiction,0,7.094234845924755,110
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,21.42,2009,Non Fiction,0,7.367708572374371,108
First 100 Words,Roger Priddy,4.7,17323,4.32,2014,Non Fiction,0,9.759848102334518,15
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,17.1,2011,Non Fiction,0,7.6128310304073565,74
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,14.28,2009,Fiction,1,8.065265208897733,50
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,22.0,2013,Fiction,1,10.429546556942707,51
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,4.7,15424,18.81,2020,Non Fiction,0,9.643744848773588,85
Giraffes Can't Dance,Giles Andreae,4.8,14038,4.0,2019,Fiction,1,9.549594449971952,20
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,12.87,2010,Non Fiction,0,6.089044875446846,94
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6.12,2018,Non Fiction,0,10.05659483106667,81
Wonder,R. J. Palacio,4.8,21625,9.36,2017,Fiction,1,9.981651573505482,6
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,10.71,2009,Fiction,1,9.365376374075716,36
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8.16,2018,Non Fiction,0,10.14858827120238,51
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,32.76,2010,Non Fiction,0,8.154212694914229,51
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6.6,2013,Non Fiction,0,10.05659483106667,81
The Wonky Donkey,Craig Smith,4.8,30183,4.0,2019,Fiction,1,10.315067261644147,16
The Book with No Pictures,B. J. Novak,4.8,8081,8.64,2015,Fiction,1,8.997394645638419,25
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,15.47,2009,Fiction,1,9.187071745036828,41
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7.7,2013,Fiction,1,8.85922139360813,95
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27.0,2019,Fiction,1,9.740439071085758,38
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9.72,2015,Fiction,1,9.09638749190015,24
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4.56,2011,Fiction,1,7.647308832356238,54
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5.55,2012,Fiction,1,8.629628620746026,97
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16.96,2016,Non Fiction,0,8.460834457746854,76
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8.0,2019,Non Fiction,0,10.14858827120238,51
Ready Player One: A Novel,Ernest Cline,4.6,22536,12.48,2017,Fiction,1,10.022913682018666,25
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,11.4,2011,Fiction,1,8.364275084991524,46
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,11.1,2012,Non Fiction,0,9.666498594399865,82
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20.4,2018,Non Fiction,0,8.962263554116761,61
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10.0,2019,Fiction,1,9.087381464575735,32
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5.2,2017,Fiction,1,9.571156728415465,40
The Handmaid's Tale,Margaret Atwood,4.3,29442,7.28,2017,Fiction,1,10.290211469825051,19
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4.24,2016,Non Fiction,0,8.852378886511985,29
The Girl on the Train,Paula Hawkins,4.1,79446,7.42,2016,Fiction,1,11.28284541165472,21
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,23.32,2016,Fiction,1,9.215626376405421,85
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,24.84,2015,Non Fiction,0,9.317309592973425,86
Harry Potter Coloring Book,Scholastic,4.7,3564,9.72,2015,Non Fiction,0,8.178919332848396,26
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5.3,2016,Fiction,1,8.565983355585669,21
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,24.57,2010,Fiction,1,7.733245646529795,49
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,13.09,2009,Non Fiction,0,7.2196420401307355,98
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,14.04,2010,Fiction,1,8.241966560231802,45
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15.9,2016,Fiction,1,8.382747094863314,79
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,12.1,2013,Non Fiction,0,8.330622620332868,61
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7.56,2015,Fiction,1,8.727454116899434,37
The Book with No Pictures,B. J. Novak,4.8,8081,8.64,2014,Fiction,1,8.997394645638419,25
Fear: Trump in the White House,Bob Woodward,4.4,6042,2.04,2018,Non Fiction,0,8.706655856361559,30
The Silent Patient ,Alex Michaelides,4.5,61060,14.85,2020,Fiction,1,11.019628643488533,19
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,22.8,2011,Non Fiction,0,6.45833828334479,77
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5.2,2017,Fiction,1,9.188605879830176,18
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12.0,2019,Non Fiction,0,10.011848562206193,106
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,13.2,2013,Non Fiction,0,9.340666633651757,46
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6.12,2018,Non Fiction,0,8.929435283803425,94
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,23.8,2009,Non Fiction,0,9.252153874789594,30
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2.38,2009,Fiction,1,9.264828557260252,51
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9.54,2016,Non Fiction,0,8.43076346341785,69
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5.1,2018,Fiction,1,9.188605879830176,18
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6.0,2019,Non Fiction,0,10.05659483106667,81
To Kill a Mockingbird,Harper Lee,4.8,26234,7.0,2019,Fiction,1,10.174849676120813,21
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9.72,2014,Fiction,1,9.09638749190015,24
